Dates,SubscriberCount
"May 8, 2019","95,477,553"
"May 7, 2019","95,447,957"
"May 6, 2019","95,419,179"
"May 5, 2019","95,382,915"
"May 4, 2019","95,340,762"
"May 3, 2019","95,292,860"
"May 2, 2019","95,244,512"
"May 1, 2019","95,193,427"
"April 30, 2019","95,132,437"
"April 29, 2019","95,059,790"
"April 28, 2019","94,999,297"
"April 27, 2019","94,943,780"
"April 26, 2019","94,889,673"
"April 25, 2019","94,835,580"
"April 24, 2019","94,774,021"
"April 23, 2019","94,707,241"
"April 22, 2019","94,646,406"
"April 21, 2019","94,580,282"
"April 20, 2019","94,511,207"
"April 19, 2019","94,441,789"
"April 18, 2019","94,372,037"
"April 17, 2019","94,295,384"
"April 16, 2019","94,219,858"
"April 15, 2019","94,143,885"
"April 14, 2019","94,061,633"
"April 13, 2019","93,981,460"
"April 12, 2019","93,899,067"
"April 11, 2019","93,816,784"
"April 10, 2019","93,723,377"
"April 9, 2019","93,636,849"
"April 8, 2019","93,532,965"
"April 7, 2019","93,404,165"
"April 6, 2019","93,233,612"
"April 5, 2019","93,053,299"
"April 4, 2019","92,854,897"
"April 3, 2019","92,628,950"
"April 2, 2019","92,375,402"
"April 1, 2019","92,066,638"
"March 31, 2019","91,892,442"
"March 30, 2019","91,774,024"
"March 29, 2019","91,689,730"
"March 28, 2019","91,588,937"
"March 27, 2019","91,470,601"
"March 26, 2019","91,334,715"
"March 25, 2019","91,205,415"
"March 24, 2019","91,084,775"
"March 23, 2019","90,923,300"
"March 22, 2019","90,704,648"
"March 21, 2019","90,442,451"
"March 20, 2019","90,227,006"
"March 19, 2019","90,058,079"
"March 18, 2019","89,892,297"
"March 17, 2019","89,738,761"
"March 16, 2019","89,592,596"
"March 15, 2019","89,439,541"
"March 14, 2019","89,291,754"
"March 13, 2019","89,135,186"
"March 12, 2019","88,971,749"
"March 11, 2019","88,801,698"
"March 10, 2019","88,680,082"
"March 9, 2019","88,516,460"
"March 8, 2019","88,391,540"
"March 7, 2019","88,277,621"
"March 6, 2019","88,150,159"
"March 5, 2019","88,020,932"
"March 4, 2019","87,877,515"
"March 3, 2019","87,720,205"
"March 2, 2019","87,574,081"
"March 1, 2019","87,484,603"
"February 28, 2019","87,400,943"
"February 27, 2019","87,319,031"
"February 26, 2019","87,236,692"
"February 25, 2019","87,136,508"
"February 24, 2019","86,976,727"
"February 23, 2019","86,760,319"
"February 22, 2019","86,574,028"
"February 21, 2019","86,455,818"
"February 20, 2019","86,307,135"
"February 19, 2019","86,152,737"
"February 18, 2019","86,026,834"
"February 17, 2019","85,894,362"
"February 16, 2019","85,772,247"
"February 15, 2019","85,639,783"
"February 14, 2019","85,500,581"
"February 13, 2019","85,238,794"
"February 12, 2019","85,111,991"
"February 11, 2019","84,980,143"
"February 10, 2019","84,771,772"
"February 9, 2019","84,618,560"
"February 8, 2019","84,494,356"
"February 7, 2019","84,367,693"
"February 6, 2019","84,221,242"
"February 5, 2019","84,056,676"
"February 4, 2019","83,860,037"
"February 3, 2019","83,580,652"
"February 2, 2019","83,451,072"
"February 1, 2019","83,352,214"
"January 31, 2019","83,254,191"
"January 30, 2019","83,146,119"
"January 29, 2019","83,035,144"
"January 28, 2019","82,931,761"
"January 27, 2019","82,807,816"
"January 26, 2019","82,660,786"
"January 25, 2019","82,510,631"
"January 24, 2019","82,325,949"
"January 23, 2019","82,104,750"
"January 22, 2019","81,828,755"
"January 21, 2019","81,628,791"
"January 20, 2019","81,441,142"
"January 19, 2019","81,322,232"
"January 18, 2019","81,232,381"
"January 17, 2019","81,144,112"
"January 16, 2019","81,045,287"
"January 15, 2019","80,926,734"
"January 14, 2019","80,757,255"
"January 13, 2019","80,655,689"
"January 12, 2019","80,546,902"
"January 11, 2019","80,440,879"
"January 10, 2019","80,340,896"
"January 9, 2019","80,248,432"
"January 8, 2019","80,148,654"
"January 7, 2019","80,024,135"
"January 6, 2019","79,904,952"
"January 5, 2019","79,784,419"
"January 4, 2019","79,669,883"
"January 3, 2019","79,545,031"
"January 2, 2019","79,416,904"
"January 1, 2019","79,283,233"
"December 31, 2018","79,126,114"
"December 30, 2018","78,956,875"
"December 29, 2018","78,775,106"
"December 28, 2018","78,603,265"
"December 27, 2018","78,459,822"
"December 26, 2018","78,347,839"
"December 25, 2018","78,245,115"
"December 24, 2018","78,136,260"
"December 23, 2018","78,012,952"
"December 22, 2018","77,841,849"
"December 21, 2018","77,756,502"
"December 20, 2018","77,632,010"
"December 19, 2018","77,464,571"
"December 18, 2018","77,305,939"
"December 17, 2018","77,128,387"
"December 16, 2018","76,942,142"
"December 15, 2018","76,753,723"
"December 14, 2018","76,613,081"
"December 13, 2018","76,395,750"
"December 12, 2018","76,195,038"
"December 11, 2018","75,927,905"
"December 10, 2018","75,594,958"
"December 9, 2018","75,274,205"
"December 8, 2018","74,984,638"
"December 7, 2018","74,705,331"
"December 6, 2018","74,410,331"
"December 5, 2018","74,191,091"
"December 4, 2018","73,908,186"
"December 3, 2018","73,434,016"
"December 2, 2018","72,875,774"
"December 1, 2018","72,666,742"
"November 30, 2018","72,539,712"
"November 29, 2018","72,414,869"
"November 28, 2018","72,263,532"
"November 27, 2018","72,098,097"
"November 26, 2018","71,857,809"
"November 25, 2018","71,598,119"
"November 24, 2018","71,453,739"
"November 23, 2018","71,316,057"
"November 22, 2018","71,171,563"
"November 21, 2018","71,042,380"
"November 20, 2018","70,945,115"
"November 19, 2018","70,828,133"
"November 18, 2018","70,745,036"
"November 17, 2018","70,664,659"
"November 16, 2018","70,570,469"
"November 15, 2018","70,484,130"
"November 14, 2018","70,372,915"
