Dates,SubscriberCount
"May 8, 2019","97,430,454"
"May 7, 2019","97,310,343"
"May 6, 2019","97,182,546"
"May 5, 2019","97,042,148"
"May 4, 2019","96,914,085"
"May 3, 2019","96,791,975"
"May 2, 2019","96,667,875"
"May 1, 2019","96,534,584"
"April 30, 2019","96,405,668"
"April 29, 2019","96,281,173"
"April 28, 2019","96,148,464"
"April 27, 2019","96,006,737"
"April 26, 2019","95,861,665"
"April 25, 2019","95,693,414"
"April 24, 2019","95,542,712"
"April 23, 2019","95,390,210"
"April 22, 2019","95,215,865"
"April 21, 2019","95,071,305"
"April 20, 2019","94,913,801"
"April 19, 2019","94,736,883"
"April 18, 2019","94,607,815"
"April 17, 2019","94,484,043"
"April 16, 2019","94,357,493"
"April 15, 2019","94,229,526"
"April 14, 2019","94,008,689"
"April 13, 2019","93,840,529"
"April 12, 2019","93,683,568"
"April 11, 2019","93,531,729"
"April 10, 2019","93,374,850"
"April 9, 2019","93,223,840"
"April 8, 2019","93,062,762"
"April 7, 2019","92,901,208"
"April 6, 2019","92,774,291"
"April 5, 2019","92,655,239"
"April 4, 2019","92,525,909"
"April 3, 2019","92,387,469"
"April 2, 2019","92,240,037"
"April 1, 2019","92,100,754"
"March 31, 2019","91,975,698"
"March 30, 2019","91,857,418"
"March 29, 2019","91,740,377"
"March 28, 2019","91,602,843"
"March 27, 2019","91,469,385"
"March 26, 2019","91,334,332"
"March 25, 2019","91,195,511"
"March 24, 2019","91,041,786"
"March 23, 2019","90,882,123"
"March 22, 2019","90,678,459"
"March 21, 2019","90,438,126"
"March 20, 2019","90,218,170"
"March 19, 2019","90,040,347"
"March 18, 2019","89,875,819"
"March 17, 2019","89,712,734"
"March 16, 2019","89,563,193"
"March 15, 2019","89,412,868"
"March 14, 2019","89,266,439"
"March 13, 2019","89,108,376"
"March 12, 2019","88,938,786"
"March 11, 2019","88,771,204"
"March 10, 2019","88,638,304"
"March 9, 2019","88,486,902"
"March 8, 2019","88,357,406"
"March 7, 2019","88,224,307"
"March 6, 2019","88,093,734"
"March 5, 2019","87,977,123"
"March 4, 2019","87,854,872"
"March 3, 2019","87,693,573"
"March 2, 2019","87,553,797"
"March 1, 2019","87,436,624"
"February 28, 2019","87,322,896"
"February 27, 2019","87,213,413"
"February 26, 2019","87,105,578"
"February 25, 2019","86,984,082"
"February 24, 2019","86,846,704"
"February 23, 2019","86,703,086"
"February 22, 2019","86,544,176"
"February 21, 2019","86,411,130"
"February 20, 2019","86,273,181"
"February 19, 2019","86,119,579"
"February 18, 2019","85,991,326"
"February 17, 2019","85,843,567"
"February 16, 2019","85,699,411"
"February 15, 2019","85,557,039"
"February 14, 2019","85,398,479"
"February 13, 2019","85,198,663"
"February 12, 2019","85,048,313"
"February 11, 2019","84,901,520"
"February 10, 2019","84,720,853"
"February 9, 2019","84,550,375"
"February 8, 2019","84,397,520"
"February 7, 2019","84,234,956"
"February 6, 2019","84,076,702"
"February 5, 2019","83,896,257"
"February 4, 2019","83,711,253"
"February 3, 2019","83,502,074"
"February 2, 2019","83,338,766"
"February 1, 2019","83,196,167"
"January 31, 2019","83,062,876"
"January 30, 2019","82,928,917"
"January 29, 2019","82,791,417"
"January 28, 2019","82,646,420"
"January 27, 2019","82,487,768"
"January 26, 2019","82,314,090"
"January 25, 2019","82,141,066"
"January 24, 2019","81,981,191"
"January 23, 2019","81,828,997"
"January 22, 2019","81,661,609"
"January 21, 2019","81,488,509"
"January 20, 2019","81,301,467"
"January 19, 2019","81,131,355"
"January 18, 2019","80,979,240"
"January 17, 2019","80,821,569"
"January 16, 2019","80,658,207"
"January 15, 2019","80,507,248"
"January 14, 2019","80,341,778"
"January 13, 2019","80,166,032"
"January 12, 2019","79,995,537"
"January 11, 2019","79,831,413"
"January 10, 2019","79,677,368"
"January 9, 2019","79,511,986"
"January 8, 2019","79,367,167"
"January 7, 2019","79,214,948"
"January 6, 2019","79,038,575"
"January 5, 2019","78,864,021"
"January 4, 2019","78,696,514"
"January 3, 2019","78,529,345"
"January 2, 2019","78,356,428"
"January 1, 2019","78,177,185"
"December 31, 2018","78,009,530"
"December 30, 2018","77,856,526"
"December 29, 2018","77,703,224"
"December 28, 2018","77,558,567"
"December 27, 2018","77,398,080"
"December 26, 2018","77,222,406"
"December 25, 2018","77,057,568"
"December 24, 2018","76,896,512"
"December 23, 2018","76,715,475"
"December 22, 2018","76,413,553"
"December 21, 2018","76,313,244"
"December 20, 2018","76,164,012"
"December 19, 2018","76,012,307"
"December 18, 2018","75,873,529"
"December 17, 2018","75,734,172"
"December 16, 2018","75,577,098"
"December 15, 2018","75,400,353"
"December 14, 2018","75,456,205"
"December 13, 2018","75,291,912"
"December 12, 2018","75,133,890"
"December 11, 2018","74,995,801"
"December 10, 2018","74,832,084"
"December 9, 2018","74,645,752"
"December 8, 2018","74,446,834"
"December 7, 2018","74,218,222"
"December 6, 2018","73,991,264"
"December 5, 2018","73,733,076"
"December 4, 2018","73,423,212"
"December 3, 2018","73,121,156"
"December 2, 2018","72,796,198"
"December 1, 2018","72,549,954"
"November 30, 2018","72,343,112"
"November 29, 2018","72,164,286"
"November 28, 2018","71,994,084"
"November 27, 2018","71,819,105"
"November 26, 2018","71,672,677"
"November 25, 2018","71,507,750"
"November 24, 2018","71,340,452"
"November 23, 2018","71,158,106"
"November 22, 2018","71,019,417"
"November 21, 2018","70,882,863"
"November 20, 2018","70,752,646"
"November 19, 2018","70,623,833"
"November 18, 2018","70,488,329"
"November 17, 2018","70,355,186"
"November 16, 2018","70,223,290"
"November 15, 2018","70,077,906"
"November 14, 2018","69,951,601"
"November 13, 2018","69,813,722"
"November 12, 2018","69,685,038"
"November 11, 2018","69,535,072"
"November 10, 2018","69,366,776"
"November 9, 2018","69,206,862"
"November 8, 2018","69,054,976"
"November 7, 2018","68,908,986"
"November 6, 2018","68,770,472"
"November 5, 2018","68,631,175"
"November 4, 2018","68,477,191"
"November 3, 2018","68,334,290"
"November 2, 2018","68,200,722"
"November 1, 2018","68,067,612"
"October 31, 2018","67,922,425"
"October 30, 2018","67,790,319"
"October 29, 2018","67,646,913"
"October 28, 2018","67,493,455"
"October 27, 2018","67,320,067"
"October 26, 2018","67,179,889"
"October 25, 2018","67,057,045"
"October 24, 2018","66,936,192"
"October 23, 2018","66,814,775"
"October 22, 2018","66,695,893"
"October 21, 2018","66,556,282"
"October 20, 2018","66,417,627"
"October 19, 2018","66,275,784"
"October 18, 2018","66,125,556"
"October 17, 2018","65,967,973"
"October 16, 2018","65,826,083"
"October 15, 2018","65,687,809"
"October 14, 2018","65,561,913"
"October 13, 2018","65,446,795"
